Client_Num,Customer_Age,Gender,Education_Level,Marital_Status,state_cd,Customer_Job,Income,Cust_Satisfaction_Score
915620067,34,F,Graduate,Married,NY,Selfemployeed,38928,1
928594927,52,M,Graduate,Married,CA,Businessman,107387,2
924230663,63,F,High School,Married,CA,Selfemployeed,14975,1
967647198,27,M,High School,Single,FL,Selfemployeed,76456,4
916404493,40,M,Graduate,Single,TX,Retirees,53971,2
951324437,27,F,High School,Married,TX,Selfemployeed,6550,1
948632519,54,M,Graduate,Unknown,FL,White-collar,102076,3
935734897,37,M,Graduate,Single,NY,White-collar,69382,3
927629610,59,F,Unknown,Married,CA,Govt,27562,5
957268333,52,F,Post-Graduate,Married,CA,Blue-collar,43634,5
951939025,37,F,Unknown,Married,NY,Businessman,15553,5
912062417,53,M,Graduate,Single,NY,Businessman,98743,4
931204683,50,F,Graduate,Single,MN,Selfemployeed,10425,5
955413495,46,F,High School,Unknown,FL,Govt,20428,3
926366819,51,F,Unknown,Married,NJ,Govt,18977,5
946988891,54,F,Unknown,Married,NY,Retirees,25060,1
932566259,53,M,Graduate,Married,TX,Businessman,182464,2
931860481,46,M,Graduate,Single,NY,Businessman,68413,1
929882675,53,F,Unknown,Unknown,TX,Blue-collar,25533,4
943527510,40,F,Unknown,Married,FL,Govt,39889,2
916639558,58,F,High School,Single,TX,Retirees,29513,1
952877527,42,F,Uneducated,Single,TX,Selfemployeed,92565,5
965133642,40,M,Unknown,Married,CA,Govt,71574,3
943332935,50,M,Post-Graduate,Single,TX,Selfemployeed,42529,5
911356906,39,M,Uneducated,Single,NY,Govt,75342,3
914100961,60,M,Graduate,Married,NJ,Businessman,69112,5
928202998,57,F,Unknown,Single,FL,White-collar,25381,5
927325578,43,F,Graduate,Single,CA,Selfemployeed,14975,3
967889522,51,F,Graduate,Single,CA,Blue-collar,43601,4
957165213,46,M,Unknown,Married,TX,Govt,86242,4
942626947,40,M,Graduate,Married,CA,Blue-collar,93722,4
953470068,56,M,Unknown,Single,CA,Govt,46277,3
922719672,51,M,Uneducated,Single,NY,Businessman,213177,1
931891072,30,F,Graduate,Single,TX,Businessman,28914,2
946247323,48,F,Graduate,Married,CA,Selfemployeed,50462,1
930197610,46,F,Unknown,Single,TX,Selfemployeed,19725,4
949774711,44,F,Unknown,Single,NY,Businessman,22353,2
943826301,37,M,High School,Unknown,NY,Businessman,181915,1
940281207,34,F,Graduate,Single,NY,Selfemployeed,14975,4
917125667,30,M,Graduate,Single,CA,Retirees,64991,4
943190439,47,M,Graduate,Married,TX,Selfemployeed,62659,3
922320730,39,M,Unknown,Married,NY,Govt,91460,3
929595858,45,F,Graduate,Single,CA,Selfemployeed,34412,4
959893136,40,F,High School,Married,CA,Retirees,20517,4
914645436,44,F,Graduate,Married,TX,Govt,515324,3
955643267,49,M,Graduate,Married,TX,Blue-collar,79307,5
930834378,54,F,Graduate,Married,TX,Selfemployeed,154975,5
941473935,57,M,High School,Married,NY,White-collar,148310,4
915493311,49,F,Doctorate,Married,NY,Selfemployeed,14975,5
968936158,55,F,Graduate,Married,FL,White-collar,20859,4
933392675,33,M,High School,Married,FL,Businessman,232857,4
928419817,33,M,Uneducated,Married,NY,Govt,106036,4
915483449,53,F,Unknown,Single,TX,Retirees,28815,5
946714401,27,F,Uneducated,Unknown,NY,Blue-collar,12519,5
956874871,38,F,Unknown,Single,NV,Blue-collar,36543,1
958764892,41,F,Unknown,Single,TX,Govt,24181,2
934634748,48,F,Doctorate,Married,CA,Selfemployeed,14975,1
912083085,52,F,Graduate,Married,NY,White-collar,35247,4
911365112,59,M,Uneducated,Single,FL,Govt,55730,2
953753052,49,F,High School,Unknown,NY,Retirees,54460,1
958974616,50,M,Unknown,Single,CA,White-collar,44934,4
950813526,55,M,Uneducated,Single,NY,Govt,78354,5
942716217,43,M,Unknown,Married,NY,White-collar,71289,3
916095724,56,M,Graduate,Married,NY,Businessman,102444,5
916347080,65,M,Unknown,Married,NY,White-collar,45780,4
933846978,37,F,Uneducated,Married,NY,Selfemployeed,17553,5
964803228,51,F,Graduate,Married,NY,Retirees,16510,4
948820628,57,M,Graduate,Married,CA,White-collar,75291,3
941121418,44,F,Graduate,Married,CA,Selfemployeed,14975,4
924616697,44,F,Graduate,Married,TX,White-collar,25573,5
925419962,52,M,High School,Married,NJ,Businessman,62633,4
940119296,33,F,Graduate,Married,CA,Blue-collar,53007,1
926247280,29,M,Graduate,Married,TX,Businessman,15099,2
924777883,37,M,Doctorate,Unknown,FL,Govt,76303,1
920819113,54,M,High School,Married,FL,Govt,103784,4
929774594,43,M,Doctorate,Single,FL,Retirees,98665,2
966406115,50,M,Graduate,Single,FL,Businessman,199776,1
933574623,44,F,Uneducated,Married,FL,Businessman,27467,5
912085260,62,F,Post-Graduate,Married,NJ,Blue-collar,16745,4
924433213,40,F,Uneducated,Unknown,NY,Businessman,38450,4
953669287,44,F,Unknown,Married,TX,Blue-collar,12107,3
946760890,51,M,Unknown,Single,TX,Blue-collar,77365,4
929300195,45,M,Unknown,Married,FL,Businessman,222259,5
954136712,44,F,Graduate,Married,TX,Selfemployeed,14975,5
966386176,43,F,High School,Married,TX,Selfemployeed,14975,5
911017231,59,M,High School,Single,NY,Businessman,221178,5
936476946,52,M,High School,Single,CA,Selfemployeed,46225,3
927921459,35,M,Doctorate,Single,NJ,Govt,54111,1
925316884,57,M,High School,Married,FL,White-collar,92447,2
924336171,38,M,Unknown,Married,TX,Businessman,109333,1
944505505,38,F,Graduate,Married,CA,Blue-collar,18244,4
958702412,33,F,Doctorate,Single,NJ,Selfemployeed,55525,2
958902812,43,F,Uneducated,Unknown,TX,Retirees,32062,1
959842077,43,F,Unknown,Married,CA,Blue-collar,21194,4
965083879,38,F,Graduate,Single,CA,Blue-collar,13255,5
927808848,44,F,High School,Unknown,CA,Blue-collar,10713,5
966885391,37,F,Graduate,Unknown,FL,Govt,42733,3
915796666,53,F,High School,Married,TX,Selfemployeed,57865,5
956387227,49,M,High School,Unknown,FL,Retirees,47502,4
916680535,45,F,Uneducated,Unknown,FL,Blue-collar,22975,5
967367842,40,F,Graduate,Married,CA,Selfemployeed,15525,4
935378181,35,M,Graduate,Unknown,TX,White-collar,104473,4
959015924,37,M,High School,Married,FL,White-collar,118417,4
931655537,45,M,Graduate,Single,VA,Blue-collar,103488,4
918979142,40,F,Uneducated,Single,CA,Businessman,31191,5
941614504,44,F,Graduate,Married,NJ,Selfemployeed,14975,4
956303078,44,M,Graduate,Single,TX,Govt,112879,5
964474458,38,M,High School,Married,NJ,Businessman,86104,5
962482385,44,F,Graduate,Married,CA,Retirees,138163,4
919695363,52,F,Graduate,Single,NJ,Selfemployeed,14975,5
931822111,36,M,Unknown,Single,CA,White-collar,107853,5
925168075,58,F,Graduate,Married,FL,Retirees,16680,5
